Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,0.001,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,1.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,5.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,10.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,20.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,50.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,80.0,0
14471.2790380333,14471.3889111752,14471.4152612086,6.02284906135718,6.02888132748265,6.03536047485534,5,100.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,0.001,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,1.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,5.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,10.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,20.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,50.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,80.0,0
14471.2804633187,14471.3904620377,14471.416802688,6.02312608250145,6.02917399686615,6.03565589897632,10,100.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,0.001,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,1.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,5.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,10.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,20.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,50.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,80.0,0
14471.2817152341,14471.391833015,14471.4181646187,6.02336992214763,6.02943273312289,6.03591717738161,15,100.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,0.001,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,1.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,5.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,10.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,20.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,50.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,80.0,0
14471.2827933016,14471.3930236032,14471.4193465068,6.0235804809943,6.02965743400227,6.03614420812716,20,100.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,0.001,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,1.0,0
